value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
,,,,,,,,,,,,,,,,,,,,,,,,,,5.726486,7.775664,,845.9847,13.90877,1439.298,201.1976,801.4514
,,,,,,,,,,,,,,,,,,,,,,,,,,5.696044,7.778869,535.4164,851.0539,13.89542,1437.855,200.9437,802.0427
,,,,,,,,,,,,,,,,,,,,,,,,,,5.686431,7.785278,535.5596,850.0615,13.89732,1456.223,202.4796,802.9295
,,,,,,,,,,,,,,,,,,,,,,,,,,5.689636,,535.7027,843.4886,13.90686,1481.364,204.5074,797.0174
,,,,,,,,,,,,,,,,,,,,,,,,,,5.684829,,,841.8939,13.93166,1496.448,203.9059,799.0867
,,,,,,,,,,,,,,,,,,,,,,,,,,5.696044,7.783676,535.8458,842.8049,13.94882,1503.533,203.3925,790.4443
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.785278,535.9889,840.4029,13.96217,1502.89,201.0191,794.8779
,,,,,,,,,,,,,,,,,,,,,,,,,,5.736099,,,836.1826,13.95836,1489.245,200.2274,800.4233
,,,,,,,,,,,,,,,,,,,,,,,,,,5.756926,,536.132,837.387,13.95454,1477.337,200.678,808.4033
,,,,,,,,,,,,,,,,,,,,,,,,,,5.768141,,536.275,843.0135,13.94691,1464.846,201.6329,810.1766
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.790084,536.4182,844.8112,13.94501,1462.399,203.0903,811.3587
,,,,,,,,,,,,,,,,,,,,,,,,,,5.75212,7.796493,536.5612,840.9069,13.95073,1465.777,205.0389,808.4033
,,,,,,,,,,,,,,,,,,,,,,,,,,5.734497,,,844.7111,13.95645,1469.033,204.0988,807.8122
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8013,536.7043,839.6016,13.95454,1463.949,204.1483,800.3526
,,,,,,,,,,,,,,,,,,,,,,,,,,5.750517,7.802902,536.8474,843.2111,13.95073,1473.075,201.573,799.7616
,,,,,,,,,,,,,,,,,,,,,,,,,,5.75212,,536.9905,840.208,13.96027,1485.476,200.2461,798.875
,,,,,,,,,,,,,,,,,,,,,,,,,,5.758529,,537.1336,841.4211,13.97552,1495.73,201.347,799.9865
,,,,,,,,,,,,,,,,,,,,,,,,,,5.768141,7.806106,537.2767,834.9882,13.99078,1498.892,199.5629,800.2819
,,,,,,,,,,,,,,,,,,,,,,,,,,5.772948,7.809309,,830.1313,14.00223,1496.461,201.179,799.6909
,,,,,,,,,,,,,,,,,,,,,,,,,,5.829025,,537.4198,838.625,14.01176,1484.255,199.8852,800.5773
,,,,,,,,,,,,,,,,,,,,,,,,,,5.846649,7.812515,537.5628,836.108,,1468.306,198.8042,798.4382
,,,,,,,,,,,,,,,,,,,,,,,,,,5.896316,7.820526,,830.646,,1459.099,198.1639,798.7338
,,,,,,,,,,,,,,,,,,,,,,,,,,5.912338,7.833342,537.7059,838.127,,1453.667,198.246,798.1429
